# Data from Clarivate Analytics' Web of Science, retrieved 23 November 2018
# This file generated on 2018-11-23 15:30:02
item,AU,DE,SO,id,title,year
70,"Liu, Xin|Wang, Ying|Li, Xiaonan|Zou, Li",linguistic truth-valued lattice implication algebra|approximate reasoning|decision making|linguistic-valued similarity,INTERNATIONAL JOURNAL OF COMPUTATIONAL INTELLIGENCE SYSTEMS,WOS:000397302900021,A Linguistic-Valued Approximate Reasoning Approach for Financial Decision Making,2017
71,"Wolfslehner, Bernhard|Seidl, Rupert",sustainable forest management|forest planning|forest ecosystem modeling|multi-criteria decision analysis|indicators,ENVIRONMENTAL MANAGEMENT,WOS:000285361300003,Harnessing Ecosystem Models and Multi-Criteria Decision Analysis for the Support of Forest Management,2010
72,"Spaaks, J. H.|Bouten, W.",,HYDROLOGY AND EARTH SYSTEM SCIENCES,WOS:000325346800007,Resolving structural errors in a spatially distributed hydrologic model using ensemble Kalman filter state updates,2013
73,"Sandberg, J.|Kumblad, L.|Kautsky, U.",carbon flow model|carbon-14|ecosystem modelling|radionuclide modelling|ecopath|ecosim|ecotrace|oregrundsgrepen|baltic sea,JOURNAL OF ENVIRONMENTAL RADIOACTIVITY,WOS:000244238800004,Can ECOPATH with ECOSIM enhance models of radionuclide flows in food webs? - an example for C-14 in a coastal food web in the Baltic Sea,2007
74,"Lang, Daniel J.|ScholZ, Roland W.|Binder, Claudia R.|Wiek, Arnim|Stdubli, Beat",sustainable development (sd)|systemic perspective|function-structure-context framework|method comparison|modified cost effectiveness analysis (mcea)|life cycle assessment (lca)|assessment (ra)|sustainability potential analysis (spa)|landfill management,JOURNAL OF CLEANER PRODUCTION,WOS:000248893400005,Sustainability Potential Analysis (SPA) of landfills - a systemic approach : theoretical considerations a systemic,2007
75,"Wilderjans, Tom|Ceulemans, Eva|Van Mechelen, Iven",coupled data|three-way three-mode data|binary data|hierarchical classes|multi-way data analysis|clustering|data fusion,PSYCHOMETRIKA,WOS:000261959200011,The CHIC Model: A Global Model for Coupled Binary Data,2008
76,"Chang, Chiwen|Huang, Wenrui",typhoon|storm runoff|hydrological model|shihmen watershed,NATURAL HAZARDS,WOS:000318494300031,"Hydrological modeling of typhoon-induced extreme storm runoffs from Shihmen watershed to reservoir, Taiwan",2013
77,"Lloyd, DM|Anderson, MG|Renaud, JP|Wilkinson, P|Brooks, SM",hydrology|stability|domain space,ADVANCES IN ENVIRONMENTAL RESEARCH,WOS:000189004900010,On the need to determine appropriate domains for hydrology-slope stability models,2004
78,"Kiesewetter, Gregor|Schoepp, Wolfgang|Heyes, Chris|Amann, Markus",integrated assessment|gains|particulate matter|premature mortality|air quality,ENVIRONMENTAL MODELLING & SOFTWARE,WOS:000364274400016,Modelling PM2.5 impact indicators in Europe: Health effects and legal compliance,2015
79,"Christy, B.|Weeks, A.|O'Leary, G.|Beverly, C.|Anderssen, RS|Braddock, RD|Newham, LTH",catchment analysis tool (cat)|climate change|recharge|groundwater|modflow,18TH WORLD IMACS CONGRESS AND MODSIM09 INTERNATIONAL CONGRESS ON MODELLING AND SIMULATION,WOS:000290045003137,Separating the impact of climate change from land use change in local and regional groundwater systems,2009
80,"Lobanova, Anastasia|Liersch, Stefan|Tabara, J. David|Koch, Hagen|Hattermann, Fred F.|Krysanova, Valentina",hydrological modelling|reservoir management|tagus segura water transfer|human-hydrological systems|water resources allocation|climate change,JOURNAL OF HYDROLOGY,WOS:000403739000034,Harmonizing human-hydrological system under climate change: A scenario-based approach for the case of the headwaters of the Tagus River,2017
81,"Lescot, Jean-Marie|Bordenave, Paul|Petit, Kevin|Leccia, Odile",cost-effectiveness analysis|integrated modelling|pesticides|swat|bio-economic modelling,ENVIRONMENTAL MODELLING & SOFTWARE,WOS:000315974500011,A spatially-distributed cost-effectiveness analysis framework for controlling water pollution,2013
82,"Terlien, MTJ",landslides|rainfall|antecedent soil moisture|hydrological modelling,ENVIRONMENTAL GEOLOGY,WOS:000075902900006,The determination of statistical and deterministic hydrological landslide-triggering thresholds,1998
83,"Cheng, X.|Benke, K.|Reid, M.|Christy, B.|Weeks, A.|Heislers, D.|Anderssen, RS|Braddock, RD|Newham, LTH",modelling|climate change|land use|water|dryland salinity|goulburn broken,18TH WORLD IMACS CONGRESS AND MODSIM09 INTERNATIONAL CONGRESS ON MODELLING AND SIMULATION,WOS:000290045004008,An integrated modelling approach to balancing trade-off issues in natural resource management,2009
84,"Arias, Mauricio E.|Cochrane, Thomas A.|Elliott, Vittoria",cambodia|spatial model|floodplain|wetlands|conservation planning|flood pulse|fresh water|environmental impact assessment,ENVIRONMENTAL CONSERVATION,WOS:000335415400008,Modelling future changes of habitat and fauna in the Tonle Sap wetland of the Mekong,2014
85,"Ge, Zhiqiang|Chen, Junghui",decision fusion|distributed data framework|multirate data|multitype data|plant-wide process monitoring,IEEE TRANSACTIONS ON INDUSTRIAL INFORMATICS,WOS:000370764200031,Plant-Wide Industrial Process Monitoring: A Distributed Modeling Framework,2016
86,"Toman, M|Lile, R|King, D",environmental indicators|integrated assessment|sustainable development,INTERNATIONAL JOURNAL OF ENVIRONMENT AND POLLUTION,WOS:000085403100001,Assessing sustainability in a spatial and social context: some conceptual and empirical challenges,1999
87,"Weyprecht, Pascal|Rose, Oliver|Wainer, G|Himmelspach, J|Traore, M|Heikel, R",sysml|fuml|discrete event simulation|model-driven development|emf,THEORY OF MODELING & SIMULATION: DEVS INTEGRATIVE M&S SYMPOSIUM 2011 (TMS-DEVS 2011) - 2011 SPRING SIMULATION,WOS:000398858400025,Model-driven Development of Simulation Solution based on SysML starting with the Simulation Core,2011
88,"Verdonck, FAM|Rousseau, DPL|Bixio, D|Thoeye, C|Vanrolleghem, PA",probabilistic environmental risk assessment|ammonia|dynamic models,"MODSIM 2003: INTERNATIONAL CONGRESS ON MODELLING AND SIMULATION, VOLS 1-4",WOS:000189470800057,Added value of concentration-duration-frequency curves of wastewater treatment plant effluent and river water quality,2003
89,"Andersen, Jesper H.|Aroviita, Jukka|Carstensen, Jacob|Friberg, Nikolai|Johnson, Richard K.|Kauppila, Pirkko|Lindegarth, Mats|Murray, Ciaran|Norling, Karl",,AMBIO,WOS:000382860500004,Approaches for integrated assessment of ecological and eutrophication status of surface waters in Nordic Countries,2016
