# Data from Clarivate Analytics' Web of Science, retrieved 29 October 2018,,,,,,,,,,,,,
# This file generated on 2018-11-22 14:30:09,,,,,,,,,,,,,,
item,id,year,title,AU,SO,DE,DOI,DOI link,Modeling,Version Control,Versioning,Testing,Publicly accessible code?,Publicly accessible data?
4731,WOS:000288875000015,2010,INTEGRATED ASSESSMENT OF WASTEWATER TREATMENT PLANTS FOR SUSTAINABLE RIVER BASIN MANAGEMENT,"Barjoveanu, George|Cojocariu, Claudia|Robu, Brindusa|Teodosiu, Carmen",ENVIRONMENTAL ENGINEERING AND MANAGEMENT JOURNAL,environmental impact assessment|risk assessment|water resources management|wastewater treatment plants,10.30638/eemj.2010.162,http://dx.doi.org/10.30638/eemj.2010.162,,,,,,
361,WOS:000282655200018,2010,Towards multi-scale integrated hydrological models using the LIQUID (R) framework. Overview of the concepts and first application examples,"Branger, F.|Braud, I.|Debionne, S.|Viallet, P.|Dehotin, J.|Henine, H.|Nedelec, Y.|Anquetin, S.",ENVIRONMENTAL MODELLING & SOFTWARE,hydrological models|integrated modelling|framework|liquid (r)|modularity|spatial discretization|feedback simulation,10.1016/j.envsoft.2010.06.005,http://dx.doi.org/10.1016/j.envsoft.2010.06.005,,,,,,
2383,WOS:000280377700011,2010,A spatio-temporal modelling framework for assessing the fluctuations of avalanche occurrence resulting from climate change: application to 60 years of data in the northern French Alps,"Eckert, Nicolas|Parent, E.|Kies, R.|Baya, H.",CLIMATIC CHANGE,,10.1007/s10584-009-9718-8,http://dx.doi.org/10.1007/s10584-009-9718-8,,,,,,
373,WOS:000285769100006,2010,Developing site scale projections of climate change in the Scottish Highlands,"Coll, John|Gibb, Stuart W.|Price, Martin F.|McClatchey, John|Harrison, John",CLIMATE RESEARCH,maritime uplands|lapse rates|modelling|conservation policy|uncertainty,10.3354/cr00958,http://dx.doi.org/10.3354/cr00958,,,,,,
4338,WOS:000274350400015,2010,IA-SDSS: A GIS-based land use decision support system with consideration of carbon sequestration,"Wang, Jun|Chen, Jingming|Ju, Weimin|Li, Manchun",ENVIRONMENTAL MODELLING & SOFTWARE,carbon sequestration|land-use planning|carbon models|sdss|rs|gis|integrated assessment,10.1016/j.envsoft.2009.09.010,http://dx.doi.org/10.1016/j.envsoft.2009.09.010,,,,,,
4566,WOS:000271700500008,2010,A modelling framework to support farmers in designing agricultural production systems,"Le Gal, P-Y.|Merot, A.|Moulin, C. -H.|Navarrete, M.|Wery, J.",ENVIRONMENTAL MODELLING & SOFTWARE,farm|decision system|technical system|biophysical system|conceptual model|simulation tool,10.1016/j.envsoft.2008.12.013,http://dx.doi.org/10.1016/j.envsoft.2008.12.013,,,,,,
3729,WOS:000274058900001,2010,Reconstructing 20th century global hydrography: a contribution to the Global Terrestrial Network- Hydrology (GTN-H),"Wisser, D.|Fekete, B. M.|Voeroesmarty, C. J.|Schumann, A. H.",HYDROLOGY AND EARTH SYSTEM SCIENCES,,10.5194/hess-14-1-2010,http://dx.doi.org/10.5194/hess-14-1-2010,,,,,,
4779,WOS:000276109900007,2010,Cost-effective species conservation in exurban communities: A spatial analysis,"Bauer, Dana Marie|Swallow, Stephen K.|Paton, Peter W. C.",RESOURCE AND ENERGY ECONOMICS,conservation planning|economic-ecological modeling|land-use|policy analysis|wetlands,10.1016/j.reseneeco.2009.11.012,http://dx.doi.org/10.1016/j.reseneeco.2009.11.012,,,,,,
251,WOS:000282659200002,2010,Probabilistic modelling and evaluation of wastewater treatment plant upgrades in a water quality based evaluation context,"Benedetti, Lorenzo|De Keyser, Webbey|Nopens, Ingmar|Vanrolleghem, Peter A.",JOURNAL OF HYDROINFORMATICS,cost efficiency|integrated modelling|probabilistic design|uncertainty assessment|water framework directive|water quality,10.2166/hydro.2010.011,http://dx.doi.org/10.2166/hydro.2010.011,,,,,,
250,WOS:000279563100013,2010,Dynamic performance metrics to assess sustainability and cost effectiveness of integrated urban water systems,"Fagan, J. E.|Reuter, M. A.|Langford, K. J.",RESOURCES CONSERVATION AND RECYCLING,sustainability metrics|water recycling|water management|dynamic system modelling,10.1016/j.resconrec.2009.12.002,http://dx.doi.org/10.1016/j.resconrec.2009.12.002,,,,,,
1947,WOS:000283369600006,2010,Knowledge-based simulation model generation for control law design applied to a quadrotor UAV,"Foeken, M. J.|Voskuijl, M.",MATHEMATICAL AND COMPUTER MODELLING OF DYNAMICAL SYSTEMS,controller design|knowledge-based engineering|unmanned aerial vehicle,10.1080/13873954.2010.506745,http://dx.doi.org/10.1080/13873954.2010.506745,,,,,,
4783,WOS:000275135100013,2010,Integrated modeling framework for assessment and mitigation of nitrogen pollution from agriculture: Concept and case study for China,"Fischer, G.|Winiwarter, W.|Ermolieva, T.|Cao, G. -Y.|Qui, H.|Klimont, Z.|Wiberg, D.|Wagner, F.",AGRICULTURE ECOSYSTEMS & ENVIRONMENT,agricultural intensification|production allocation|cross-entropy optimization|environmental indices|nitrogen compounds|pollution mitigation,10.1016/j.agee.2009.12.004,http://dx.doi.org/10.1016/j.agee.2009.12.004,,,,,,
4353,WOS:000277338500011,2010,"EXPLORATION OF POTENTIAL ADAPTATION STRATEGIES TO CLIMATE CHANGE IN THE ZAYANDEH RUD IRRIGATION SYSTEM, IRAN","Morid, Saeed|Bavani, Ali Reza Massah",IRRIGATION AND DRAINAGE,climate change|modelling framework|irrigation system|zayandeh rud|iran,10.1002/ird.459,http://dx.doi.org/10.1002/ird.459,,,,,,
