# Data from Clarivate Analytics' Web of Science, retrieved 1 December 2018
# This file generated on 2018-12-01 19:35:20
item,id,year,title,AU,SO,DE
5595,WOS:000304253000002,2012,"Bayesian model averaging using particle filtering and Gaussian mixture modeling: Theory, concepts, and simulation experiments","Rings, Joerg|Vrugt, Jasper A.|Schoups, Gerrit|Huisman, Johan A.|Vereecken, Harry",WATER RESOURCES RESEARCH,
5596,WOS:000375506100003,2016,"Sensitivity of DEM, slope, aspect and watershed attributes to LiDAR measurement uncertainty","Goulden, T.|Hopkinson, C.|Jamieson, R.|Sterling, S.",REMOTE SENSING OF ENVIRONMENT,lidar|uncertainty|terrain analysis|watershed
5597,WOS:000376413600010,2016,Increasing flood risk under climate change: a pan-European assessment of the benefits of four adaptation strategies,"Alfieri, Lorenzo|Feyen, Luc|Di Baldassarre, Giuliano",CLIMATIC CHANGE,
5598,WOS:000260803300009,2008,Analysing the costs and benefits of climate policy: Value judgements and scientific uncertainties,"Hof, Andries F.|den Elzen, Michel G. J.|van Vuuren, Detlef P.",GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS,climate change|cost-benefit analysis|emissions|uncertainty|climate policy
5599,WOS:000411868400008,2017,Accounting for spatial correlation errors in the assimilation of GRACE into hydrological models through localization,"Khaki, M.|Schumacher, M.|Forootan, E.|Kuhn, M.|Awange, J. L.|van Dijk, A. I. J. M.",ADVANCES IN WATER RESOURCES,data assimilation|grace|localization|hydrological model
5600,WOS:000391079300021,2016,An uncertainty analysis of subsidy for carbon capture and storage (CCS) retrofitting investment in China's coal power plants using a real-options approach,"Chen, Huadong|Wang, Can|Ye, Minhua",JOURNAL OF CLEANER PRODUCTION,real option model|uncertainty analysis|ccs retrofitting investment|carbon market|subsidy for electricity generation|china's coal power plants
5601,WOS:000265917200027,2009,"Environmental modelling of Omerli catchment area in Istanbul, Turkey using remote sensing and GIS techniques","Coskun, H. Gonca|Alparslan, Erhan",ENVIRONMENTAL MONITORING AND ASSESSMENT,remote sensing|geographic information system|land-use|water quality|drinking water|satellite image maps|water resources management
5602,WOS:000081101200003,1999,The optimal choice of climate change policy in the presence of uncertainty,"Pizer, WA",RESOURCE AND ENERGY ECONOMICS,climate change|uncertainty|cost-benefit analysis|integrated assessment|policy choice
5603,WOS:000376500600011,2016,Bridging analytical approaches for low-carbon transitions,"Geels, Frank W.|Berkhout, Frans|van Vuuren, Detlef P.",NATURE CLIMATE CHANGE,
5604,WOS:000393030500014,2016,"How does DEM resolution affect microtopographic characteristics, hydrologic connectivity, and modelling of hydrologic processes?","Habtezion, Noah|Nasab, Mohsen Tahmasebi|Chu, Xuefeng",HYDROLOGICAL PROCESSES,dem resolution|microtopography|hydrologic connectivity|overland flow|hydrologic modelling
5605,WOS:000223515100009,2004,Simulation of the effects of anthropogenic and climatic variability on runoff,"Kovalenko, O|MartinDuque, JF|Brebbie, CA|Godfrey, AE|DeTeran, JRD",GEO-ENVIRONMENT,hydrological modelling|model parameter|runoff|land reclamation|statistical criteria
5606,WOS:A1997XW05300003,1997,Hydrological runoff modelling by the use of remote sensing data with reference to the 1993-1994 and 1995 floods in the River Rhine catchment,"Portmann, FT",HYDROLOGICAL PROCESSES,hydrological modelling|flood monitoring|remote sensing|digital terrain models|c-band sar|soil moisture|river rhine
5607,WOS:000315264300011,2013,Applying Optimisation and Uncertainty Analysis to Help Develop an Integrated Water Resources Plan for South East England,"von Lany, P. H.|Choudhury, F.|Hepworth, N.|Akande, K.",WATER RESOURCES MANAGEMENT,integrated water resources planning|optimisation|scenario analysis|adaptive planning
5608,WOS:000237099500023,2006,Monthly runoff simulation: Comparing and combining conceptual and neural network models,"Nilsson, P|Uvo, CB|Berndtsson, R",JOURNAL OF HYDROLOGY,hydrological modelling|artificial neural networks|conceptual modelling|monthly runoff|combination
5609,WOS:000223810100004,2004,"Socio-hydro system modelling for integrated water-resources management-the Herault catchment case study, southern France","Lanini, S|Courtois, N|Giraud, F|Petit, |Rinaudo, JD",ENVIRONMENTAL MODELLING & SOFTWARE,watershed|conceptual model|hydrology|groundwater|behaviour patterns|stakeholders|integrated assessment|matlab/simulink
5610,WOS:000344920200010,2014,"Modeling integrated urban water systems in developing countries: case study of Port Vila, Vanuatu","Poustie, Michael S.|Deletic, Ana",AMBIO,developing countries|sustainable urban water management|simulation modeling|strategic infrastructure planning|scenario analysis
5611,WOS:000325346800002,2013,"Physically based modeling of rainfall-triggered landslides: a case study in the Luquillo forest, Puerto Rico","Lepore, C.|Arnone, E.|Noto, L. V.|Sivandran, G.|Bras, R. L.",HYDROLOGY AND EARTH SYSTEM SCIENCES,
5612,WOS:000364418100011,2015,"Application of hydropedological insights in hydrological modelling of the Stevenson-Hamilton Research Supersite, Kruger National Park, South Africa","van Tol, J. J.|van Ziji, G. M.|Riddell, E. S.|Fundisi, D.",WATER SA,acru|digital soil mapping|hillslope hydrology|hydropedology|kruger national park
5613,WOS:000347598000004,2014,Analysing the effect of land-use/cover changes at sub-catchment levels on downstream flood peaks: A semi-distributed modelling approach with sparse data,"Sanyal, Joy|Densmore, Alexander L.|Carbonneau, Patrice",CATENA,land-use/cover change|peak discharge|nrcs cn|hec-hms|sub-catchment|flow convergence timing
5614,WOS:000354093600003,2015,"Isotope hydrology and baseflow geochemistry in natural and human-altered watersheds in the Inland Pacific Northwest, USA","Sanchez-Murillo, Ricardo|Brooks, Erin S.|Elliot, William J.|Boll, Jan",ISOTOPES IN ENVIRONMENTAL AND HEALTH STUDIES,natural and human-altered watersheds|mean transit times|oxygen-18|hydrogen-2|isotope hydrology|watershed management|baseflow geochemistry
5615,WOS:A1995RM90200027,1995,PHOSPHORUS RETENTION IN CONSTRUCTED FRESH-WATER RIPARIAN MARSHES,"MITSCH, WJ|CRONK, JK|WU, XY|NAIRN, RW|HEY, DL",ECOLOGICAL APPLICATIONS,des plaines river|des plaines river wetland demonstration project|ecological modeling|fresh-water marsh|illinois|phosphorus|riparian restoration|wetlands
5616,WOS:000189395300210,2003,Corneal endothelium analysis by means of Bayesian shape modeling,"Foracchia, M|Ruggeri, A","PROCEEDINGS OF THE 25TH ANNUAL INTERNATIONAL CONFERENCE OF THE IEEE ENGINEERING IN MEDICINE AND BIOLOGY SOCIETY, VOLS 1-4",contour recognition|bayesian modeling|map estimation|simulated annealing|cornea|endothelium cells
5617,WOS:A1993BZ33J00056,1993,SPATIALLY ORIENTED SURFACE-WATER HYDROLOGICAL MODELING AND GIS,"BRILLY, M|SMITH, M|VIDMAR, A|Kovar, K|Nachtnebel, HP",APPLICATION OF GEOGRAPHIC INFORMATION SYSTEMS IN HYDROLOGY AND WATER RESOURCES MANAGEMENT,
5618,WOS:000177671200012,2002,Using 3D dynamic cartography and hydrological modelling for linear streamflow mapping,"Drogue, G|Pfister, L|Leviandier, T|Humbert, J|Hoffmann, L|El Idrissi, A|Iffly, JF",COMPUTERS & GEOSCIENCES,streamflow mapping|regionalization|conceptual rainfall-runoff model|alzette river|luxembourg
5619,WOS:000356755700001,2015,Approach for assessing coastal vulnerability to oil spills for prevention and readiness using GIS and the Blowout and Spill Occurrence Model,"Nelson, J. R.|Grubesic, T. H.|Sim, L.|Rose, K.|Graham, J.",OCEAN & COASTAL MANAGEMENT,oil spill|simulation|spatial analysis|response|coastal vulnerability|gis
5620,WOS:000187510900004,2004,The architecture of the earth system modeling framework,"Hill, C|DeLuca, C|Suarez, M|da Silva, A",COMPUTING IN SCIENCE & ENGINEERING,
5621,WOS:000260152400035,2009,Nonconvex economic load dispatch using an efficient real-coded genetic algorithm,"Kumar, Sushil|Naresh, R.",APPLIED SOFT COMPUTING,economic load dispatch|constraint handling|valve point loading effect|real-coded genetic algorithm|simulated binary crossover|polynomial mutation
5622,WOS:000352113400004,2015,A spatial pattern analysis of the halophytic species distribution in an arid coastal environment,"Badreldin, Nasem|Uria-Diez, J.|Mateu, J.|Youssef, Ali|Stal, Cornelis|El-Bana, Magdy|Magdy, Ahmed|Goossens, Rudi",ENVIRONMENTAL MONITORING AND ASSESSMENT,arid environment|digital image processing|google earth|spatial pattern analysis
5623,WOS:000369512800009,2016,"Potential Impacts of Climate Change on Water Resources in the Kunhar River Basin, Pakistan","Mahmood, Rashid|Jia, Shaofeng|Babel, Mukand S.",WATER,climate change|downscaling|temperature|precipitation|hydrologic modelling|water resources|kunhar basin|pakistan
5624,WOS:000378052600004,2016,The impact of the variability and periodicity of rainfall on surface water supply systems in Scotland,"Afzal, Muhammad|Gagnon, Alexandre S.|Mansell, Martin G.",JOURNAL OF WATER AND CLIMATE CHANGE,climate variability|hydrological modelling|periodicity|reliability|scotland|surface water supply
5625,WOS:000276161000001,2010,A flexible nonlinear modelling framework for nonstationary generalized extreme value analysis in hydroclimatology,"Cannon, Alex J.",HYDROLOGICAL PROCESSES,extreme value analysis|nonstationary|statistical modelling|neural network|nonlinear hydroclimatology
5626,WOS:000255203300010,2008,Assessment of crop growth and soil water modules in SWAT2000 using extensive field experiment data in an irrigation district of the Yellow River Basin,"Luo, Yi|He, Chansheng|Sophocleous, Marios|Yin, Zhifang|Ren Hongrui, |Zhu Ouyang, ",JOURNAL OF HYDROLOGY,swat|soil water processes|crop modeling|groundwater|agricultural watersheds
5627,WOS:000389611300043,2016,"Risk Modelling Framework for Emergency Hospital Readmission, Using Hospital Episode Statistics Inpatient Data","Mesgarpour, Mohsen|Chaussalet, Thierry|Chahed, Salma",2016 IEEE 29TH INTERNATIONAL SYMPOSIUM ON COMPUTER-BASED MEDICAL SYSTEMS (CBMS),hospital episode statistics|emergency hospital readmission|inpatient|bayes point machine|feature selection|framework
5628,WOS:000378699300008,2016,"Facets of uncertainty: epistemic uncertainty, non-stationarity, likelihood, hypothesis testing, and communication","Beven, Keith",HYDROLOGICAL SCIENCES JOURNAL-JOURNAL DES SCIENCES HYDROLOGIQUES,hydrological modelling|uncertainty estimation|non-stationarity|epistemic uncertainty|aleatory uncertainty|disinformation
5629,WOS:000174598200004,2002,An evaluation of a traditional and a neural net modelling approach to flood forecasting for an upland catchment,"Cameron, D|Kneale, P|See, L",HYDROLOGICAL PROCESSES,flood|forecast|hydrological modelling|neural network
5630,WOS:000389532200041,2016,A Summer Computing Camp Using ChainReaction and jABC,"Lamprecht, Anna -Lena|Margaria, Tiziana|McInerney, Clare|Reisman, S|Ahamed, SI|Liu, L|Milojicic, D|Claycomb, W|Matskin, M|Sato, H|Nakamura, M|Cimato, S|Lung, CH|Zhang, Z","PROCEEDINGS 2016 IEEE 40TH ANNUAL COMPUTER SOFTWARE AND APPLICATIONS CONFERENCE WORKSHOPS (COMPSAC), VOL 2",
5631,WOS:000356743800019,2015,"Physiological and metabolic adjustments of Hoplosternum littorale (Teleostei, Callichthyidae) during starvation","Rossi, Andrea|Cazenave, Jimena|Bacchetta, Carla|Campana, Mirta|Parma, Maria Julieta",ECOLOGICAL INDICATORS,fish|energy reserves|oxidative stress|food deprivation|multiple biomarkers
5632,WOS:000400598400006,2017,IMPACTS OF HUMAN BEHAVIORAL HETEROGENEITY ON THE BENEFITS OF PROBABILISTIC FLOOD WARNINGS: AN AGENT-BASED MODELING FRAMEWORK,"Du, Erhu|Rivera, Samuel|Cai, Ximing|Myers, Laura|Ernest, Andrew|Minsker, Barbara",JOURNAL OF THE AMERICAN WATER RESOURCES ASSOCIATION,agent-based modeling|behavioral heterogeneity|decision support systems|evacuation|flood warning|flooding|simulation
5633,WOS:000327670500018,2013,Finding the most appropriate precipitation probability distribution for stochastic weather generation and hydrological modelling in Nordic watersheds,"Li, Zhi|Brissette, Francois|Chen, Jie",HYDROLOGICAL PROCESSES,precipitation probability distributions|weather generator|hydrological modelling|nordic watersheds
5634,WOS:000186250000006,2003,Integrated modelling of urban watercourses,"Crabtree, RW|Dempsey, P|Clifforde, IT|Quinn, S|Henderson, B|Wilson, A",PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-WATER AND MARITIME ENGINEERING,mathematical modelling|pollution|sewers & drains
5635,WOS:000270935400002,2009,Application of the WEPP model for prioritization and evaluation of best management practices in an Indian watershed,"Pandey, A.|Chowdary, V. M.|Mal, B. C.|Billib, M.",HYDROLOGICAL PROCESSES,hydrological modelling|prioritization|watershed|wepp model|best management practices
5636,WOS:000370885000008,2016,A cognitive map framework to support integrated environmental assessment,"Mourhir, Asmaa|Rachidi, Tajjeeddine|Papageorgiou, Elpiniki I.|Karim, Mohammed|Alaoui, Faycal Sossi",ENVIRONMENTAL MODELLING & SOFTWARE,integrated assessment|fuzzy cognitive map|fuzzy inference system|dynamic cause-effect relationship|dpsir|air pollution
5637,WOS:000266672300006,2009,A distributed framework for multi-risk assessment of natural hazards used to model the effects of forest fire on hydrology and sediment yield,"Bovolo, C. Isabella|Abele, Simon J.|Bathurst, James C.|Caballero, David|Ciglan, Marek|Eftichidis, George|Simo, Branislav",COMPUTERS & GEOSCIENCES,integrated modelling|grid|soil erosion|shetran|fire spread engine
5638,WOS:000231643300007,2005,Remote sensing of glacier- and permafrost-related hazards in high mountains: an overview,"Kaab, A|Huggel, C|Fischer, L|Guex, S|Paul, F|Roer, |Salzmann, N|Schlaefli, S|Schmutz, K|Schneider, D|Strozzi, T|Weidmann, Y",NATURAL HAZARDS AND EARTH SYSTEM SCIENCES,
5639,WOS:000320685400010,2013,A software coupling approach to assess low-cost soil conservation strategies for highland agriculture in Vietnam,"Marohn, Carsten|Schreinemachers, Pepijn|Dang Viet Quang, |Berger, Thomas|Siripalangkanont, Prakit|Thanh Thi Nguyen, |Cadisch, Georg",ENVIRONMENTAL MODELLING & SOFTWARE,agent-based modeling|integrated modeling|land use change|multi-agent systems|soil degradation
5640,WOS:000318530300055,2013,Maintaining environmental quality while expanding biomass production: Sub-regional US policy simulations,"Egbendewe-Mondzozo, Aklesso|Swinton, Scott M.|Izaurralde, R. Cesar|Manowitz, David H.|Zhang, Xuesong",ENERGY POLICY,bioenergy|environmental policy|environmental policy integrated climate (epic)
5641,WOS:000373800600076,2016,Seven Food System Metrics of Sustainable Nutrition Security,"Gustafson, David|Gutman, Alona|Leet, Whitney|Drewnowski, Adam|Fanzo, Jessica|Ingram, John",SUSTAINABILITY,crop modeling|open data|sustainability|resilience|waste and loss|nutrition security|food security|climate change|integrated modeling|food safety|economic modeling
5642,WOS:000175947800004,2002,Uncertainty in integrated assessment modelling - From positivism to pluralism,"van Asselt, MBA|Rotmans, J",CLIMATIC CHANGE,
5643,WOS:000355701700005,2015,"Simulated impacts of irrigation on evapotranspiration in a strongly exploited region: a case study of the Haihe River basin, China","Lei, Huimin|Yang, Dawen|Yang, Hanbo|Yuan, Zaijian|Lv, Huafang",HYDROLOGICAL PROCESSES,irrigation modelling|evapotranspiration|community land model|haihe river basin
5644,WOS:000375465700010,2016,The third national climate assessment's coastal chapter: the making of an integrated assessment,"Moser, Susanne C.|Davidson, Margaret A.",CLIMATIC CHANGE,
5645,WOS:000168209000017,2001,Hydrological modelling of the Saone Basin sensitivity to the soil model,"Thiery, D|Amraoui, N",PHYSICS AND CHEMISTRY OF THE EARTH PART B-HYDROLOGY OCEANS AND ATMOSPHERE,
5646,WOS:000370885000016,2016,Modelling with stakeholders - Next generation,"Voinov, Alexey|Kolagani, Nagesh|McCall, Michael K.|Glynn, Pierre D.|Kragt, Marit E.|Ostermann, Frank O.|Pierce, Suzanne A.|Ramu, Palaniappan",ENVIRONMENTAL MODELLING & SOFTWARE,citizen science|social media|serious games|crowdsourcing|biases|uncertainty
5647,WOS:000349012200038,2015,Estimating farmers' willingness to pay for climate change adaptation: the case of the Malaysian agricultural sector,"Masud, Muhammad Mehedi|Ha Junsheng, |Akhtar, Rulia|Al-Amin, Abul Quasem|Kari, Fatimah Binti",ENVIRONMENTAL MONITORING AND ASSESSMENT,adaptation|agriculture|climate change|willingness to pay (wtp)|contingent valuation method (cvm)
5648,WOS:000349896400023,2015,"Mitigation of ammonia, nitrous oxide and methane emissions from manure management chains: a meta-analysis and integrated assessment","Hou, Yong|Velthof, Gerard L.|Oenema, Oene",GLOBAL CHANGE BIOLOGY,ammonia|composting|greenhouse gases|injection|meta-analysis|processing|separation|trade-offs
5649,WOS:000395354400010,2017,Numerical air quality forecasting over eastern China: An operational application of WRF-Chem,"Zhou, Guangqiang|Xu, Jianming|Xie, Ying|Chang, Luyu|Gao, Wei|Gu, Yixuan|Zhou, Ji",ATMOSPHERIC ENVIRONMENT,air quality modeling|air quality forecasting|wrf-chem|pm2.5|ozone
5650,WOS:000290114100087,2005,Hydrologic Modeling of a Groundwater Dominated Watershed Using a Loosely Coupled Modeling Approach,"Barth, C.|Krause, P.|Boyle, D. P.|Markstrom, S. L.|Zerger, A|Argent, RM",MODSIM 2005: INTERNATIONAL CONGRESS ON MODELLING AND SIMULATION: ADVANCES AND APPLICATIONS FOR MANAGEMENT AND DECISION MAKING,surface-groundwater interaction|loosely coupled model|modflow|prms
5651,WOS:000410535400338,2015,Verifying Temperature Lapse Rates in the Eastern Himalayas using Landsat 7 and 8,"Penton, D. J.|Neumann, L. E.|Karki, R.|Nepal, S.|Weber, T|McPhee, MJ|Anderssen, RS",21ST INTERNATIONAL CONGRESS ON MODELLING AND SIMULATION (MODSIM2015),landsat 8|temperature lapse rates|himalayan catchments
5652,WOS:000187176400005,2003,Execution conditions: A formalization of event cancellation in simulation graphs,"Ingalls, RG|Morrice, DJ|Yucesan, E|Whinston, AB",INFORMS JOURNAL ON COMPUTING,"simulation, languages|analysis of algorithms|networks-graphs, applications"
5653,WOS:000268215700189,2007,Semi-automatic Model Integration using Matching Transformations and Weaving Models,"Del Fabro, Marcos Didonet|Valduriez, Patrick","APPLIED COMPUTING 2007, VOL 1 AND 2",model engineering|matching transformations|model weaving
5654,WOS:000405512600025,2017,Use of geographical information system-based hydrological modelling for development of a raised bog conservation and restoration programme,"Mackin, Francis|Flynn, Raymond|Barr, Alan|Fernandez-Valverde, Fernando",ECOLOGICAL ENGINEERING,peatlands|priority habitat|conservation plans|ecohydrology|active raised bog|gis modelling|habitats directive|restoration
5655,WOS:000409185900002,2017,"Natural flood management, land use and climate change trade-offs: the case of Tarland catchment, Scotland","Iacob, Oana|Brown, Iain|Rowan, John",HYDROLOGICAL SCIENCES JOURNAL-JOURNAL DES SCIENCES HYDROLOGIQUES,climate change|land-use change|hydrological modelling|catchment management|flood risk
5656,WOS:000346067900372,2013,"IDENTIFICATION OF UNCERTAINTY IN HYDROLOGICAL MODELLING USING SEVERAL MODEL STRUCTURES, OPTIMISATION ALGORITHMS AND OBJECTIVE FUNCTIONS IN A CYPRIOT WATERSHED","Gkilimanakis, E.|Vasiliades, L.|Loukas, A.|Lekkas, TD",PROCEEDINGS OF THE 13TH INTERNATIONAL CONFERENCE ON ENVIRONMENTAL SCIENCE AND TECHNOLOGY,hydrological models|rainfall-runoff modelling|model structure uncertainty|optimisation algorithms|objective functions|parameter uncertainty|streamflow modelling
5657,WOS:000361906900011,2015,A simulation tool for managing environmental flows in regulated rivers,"Steinfeld, C. M. M.|Kingsford, R. T.|Webster, E. C.|Sharma, A.",ENVIRONMENTAL MODELLING & SOFTWARE,environmental flow|hydrological model|decision support tool|water resource management|murray-darling basin
5658,WOS:000254095100012,2008,Sensitivity of a soil-vegetation-atmosphere-transfer scheme to input data resolution and data classification,"Bormann, Helge",JOURNAL OF HYDROLOGY,input data|data resolution|data classification|sensitivity|svat scheme|regional hydrological modelling
5659,WOS:000239923000001,2006,Pesticide modelling for a small catchment using SWAT-2000,"Kannan, Narayanan|White, Sue M.|Worrall, Fred|Whelan, Mick J.",JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH PART B-PESTICIDES FOOD CONTAMINANTS AND AGRICULTURAL WASTES,pesticide|swat|terbuthylazine|terbutryn|catchment|modelling
5660,WOS:000089244600018,2000,Application of ecological classification and predictive vegetation modeling to broad-level assessments of ecosystem health,"Jensen, ME|Redmond, RL|Dibenedetto, JP|Bourgeron, PS|Goodman, IA",ENVIRONMENTAL MONITORING AND ASSESSMENT,rangeland health|ecosystem health|ecological classification|rangeland ecology|ecological modeling
5661,WOS:000267676700013,2009,Distributed hydrological modelling using weather radar in gauged and ungauged basins,"Cole, Steven J.|Moore, Robert J.",ADVANCES IN WATER RESOURCES,distributed hydrological modelling|ungauged|weather radar|raingauge|rainfall estimation|multiquadric|flood forecasting
5662,WOS:000290030702002,2007,Using Ontology to Harmonize Knowledge Concepts in Data and Models,"Wien, J. J. F.|Knapen, M. J. R.|Janssen, S. J. C.|Verweij, P. J. F. M.|Athanasiadis, I. N.|Li, H.|Rizzoli, A. E.|Villa, F.|Oxley, L|Kulasiri, D",MODSIM 2007: INTERNATIONAL CONGRESS ON MODELLING AND SIMULATION,ontology|modelling|model integration|integrated assessment
5663,WOS:A1994PV20300003,1994,AN INTEGRATED MODELING APPROACH FOR IDENTIFYING PROMISING TECHNOLOGIES TO ADDRESS WASTE MANAGEMENT PROBLEMS,"REID, RA|CHRISTENSEN, DC|HARBUR, DR",RADIOACTIVE WASTE MANAGEMENT AND ENVIRONMENTAL RESTORATION,
5664,WOS:000227957000008,2005,Climate change impacts for the conterminous USA: An integrated assessment - Part 7. Economic analysis of field crops and land use with climate change,"Sands, RD|Edmonds, JA",CLIMATIC CHANGE,
5665,WOS:000322962800009,2013,"Integrated Modeling of Conjunctive Water Use in a Canal-Well Irrigation District in the Lower Yellow River Basin, China","Liu, Luguang|Cui, Yuanlai|Luo, Yufeng",JOURNAL OF IRRIGATION AND DRAINAGE ENGINEERING,irrigation districts|water management|rivers and streams|china|river basins|canals|wells|irrigation|water management|soil water atmosphere plant (swap)|soil and water assessment tool (swat2000)|modular three-dimensional groundwater flow model (modflow)|yellow river|conjunctive use
5666,WOS:000317699900003,2013,Biotransformation kinetics and sorption of cocaine and its metabolites and the factors influencing their estimation in wastewater,"Plosz, Benedek Gy.|Reid, Malcolm J.|Borup, Morten|Langford, Katherine H.|Thomas, Kevin V.",WATER RESEARCH,trace chemicals or micro-pollutants|cocaine biomarkers|biotransformation kinetics|sorption|back-calculation of illicit|drug consumption|sewage epidemiology
5667,WOS:A1994PV79700007,1994,AN INTEGRATED MODELING APPROACH FOR ASSESSING THE IMPACTS OF A NATURAL GAS-FIRED POWER-PLANT ON SOIL ACIDIFICATION,"KILIC, B|KAYIN, S|MUKHALLALATI, L|SOYUPAK, S|ONDER, K|YURTERI, C",FRESENIUS ENVIRONMENTAL BULLETIN,acid deposition|soil acidification|environmental impact assessment|mechanistic modeling
5668,WOS:000365376400005,2016,GIS based integrated modelling framework for agricultural canal system simulation and management in Indo-Gangetic plains of India,"Srivastava, P. K.|Singh, Raj Mohan",AGRICULTURAL WATER MANAGEMENT,canal system simulation|gis|conjunctive use|groundwater management|indo-gangetic plain
5669,WOS:000265419600008,2009,"Heavy Metal Contamination in Riverine Soils Upstream and Downstream of a Hydroelectric Dam on the Lancang River, China","Bai, Junhong|Cui, Baoshan|Xu, Xiaofeng|Ding, Qiuyi|Gao, Haifeng",ENVIRONMENTAL ENGINEERING SCIENCE,heavy metals|riverine soils|upstream|downstream|contamination index
5670,WOS:000342073500007,2014,Accuracy and efficiency of time integration methods for 1D diffusive wave equation,"Weill, Sylvain|di Chiara-Roupert, Raphael|Ackerer, Philippe",COMPUTATIONAL GEOSCIENCES,diffusive wave equation|nonlinear time integration schemes|picard|mass balance|cpu time|upwind finite volume
5671,WOS:000279495200005,2010,Evaluating evapotranspiration and water-use efficiency of terrestrial ecosystems in the conterminous United States using MODIS and AmeriFlux data,"Lu, Xiaoliang|Zhuang, Qianlai",REMOTE SENSING OF ENVIRONMENT,modis|evapotranspiration|artificial neural networks|water-use efficiency
5672,WOS:000398996200053,2015,THREE-DIMENSIONAL ARABIAN GULF HYDRO-ENVIRONMENTAL MODELING USING DELFT3D,"Pokavanich, Tanuspong|Alosairi, Yousef|De Graaff, Reimer|Morelissen, Robin|Verbruggen, Wilbert|Al-Rifaie, Kholood|Altaf, Taqi|Al-Said, Turki|Mynett, A",PROCEEDINGS OF THE 36TH IAHR WORLD CONGRESS,arabian gulf|hydrodynamic|water quality|kuwait|delft3d
5673,WOS:000382269000036,2016,A cost-efficiency and health benefit approach to improve urban air quality,"Miranda, A. I.|Ferreira, J.|Silveira, C.|Relvas, H.|Duque, L.|Roebeling, P.|Lopes, M.|Costa, S.|Monteiro, A.|Gama, C.|Sa, E.|Borrego, C.|Teixeira, J. P.",SCIENCE OF THE TOTAL ENVIRONMENT,emission abatement measures|air quality modelling|health impact functions|cost-benefit analysis
5674,WOS:000379420000005,2016,A retrospective streamflow ensemble forecast for an extreme hydrologic event: a case study of Hurricane Irene and on the Hudson River basin,"Saleh, Firas|Ramaswamy, Venkatsundar|Georgas, Nickitas|Blumberg, Alan F.|Pullen, Julie",HYDROLOGY AND EARTH SYSTEM SCIENCES,
5675,WOS:000324562700011,2013,Modeling the current and future capacity of water resources to meet water demands in the Ebro basin,"Milano, Marianne|Ruelland, Denis|Dezetter, Alain|Fabre, Julie|Ardoin-Bardin, Sandra|Servat, Eric",JOURNAL OF HYDROLOGY,ebro catchment|water supply|water demands|water allocation|storage dam modeling|integrated modeling
5676,WOS:000240033100010,2006,Coastal eutrophication assessment in the United States,"Scavia, Donald|Bricker, Suzanne B.",BIOGEOCHEMISTRY,assessment|coastal|eutrophication|gulf of mexico|hypoxia
5677,WOS:000326770300080,2013,Long-term fuel demand: Not only a matter of fuel price,"Lampin, Laure B. A.|Nadaud, Franck|Grazi, Fabio|Hourcade, Jean-Charles",ENERGY POLICY,energy use|housing price|spatial policy
5678,WOS:000320684700031,2013,Protected areas in a landscape dominated by logging - A connectivity analysis that integrates varying protection levels with competition-colonization tradeoffs,"Bergsten, Arvid|Bodin, Orjan|Ecke, Frauke",BIOLOGICAL CONSERVATION,protected area|fragmentation|dispersal|network|graph theory|planning|disturbance
5679,WOS:000266644800009,2009,"Integrated assessment of lateral flow, density effects and dispersion in aquifer storage and recovery","Ward, James D.|Simmons, Craig T.|Dillon, Peter J.|Pavelic, Paul",JOURNAL OF HYDROLOGY,aquifer storage and recovery|asr|lateral flow|density-driven flow|dispersion|mixing fraction
5680,WOS:000256958700022,2008,Spatial and temporal variations of actual soil water repellency and their influence on surface runoff,"Lemmnitz, C.|Kuhnert, M.|Bens, O.|Guentner, A.|Merz, B.|Huttl, R. F.",HYDROLOGICAL PROCESSES,soil water repellency|hydrophobicity|surface runoff generation|hydrology|erosion|sandy soil|reclaimed mining area
5681,WOS:000274302900102,2009,Analysis of safety assessment model for the Aviation Enterprises,"Wang, Qi-quan|Sun, Gui-lei|Zhang, L|Marinov, M|Johnson, N|Yang, C","PROCEEDINGS OF 2009 INTERNATIONAL CONFERENCE OF MANAGEMENT ENGINEERING AND INFORMATION TECHNOLOGY, VOLS 1 AND 2",shel|neural networks|safety assessment|model
5682,WOS:000298270300016,2011,A conceptual framework for incorporating surface-groundwater interactions into a river operation-planning model,"Rassam, David W.",ENVIRONMENTAL MODELLING & SOFTWARE,groundwater-surface water interaction|river operation-planning model|river low flow|groundwater extraction|river depletion|analytical solutions|river-aquifer exchange flux|conjunctive management
5683,WOS:A1994NT30900002,1994,IMAGE-2.0 - INTEGRATED MODELING OF GLOBAL CLIMATE-CHANGE - PREFACE,"ALCAMO, J",WATER AIR AND SOIL POLLUTION,
5684,WOS:000270466900001,2009,A conditional random field-based downscaling method for assessment of climate change impact on multisite daily precipitation in the Mahanadi basin,"Raje, Deepashree|Mujumdar, P. P.",WATER RESOURCES RESEARCH,
5685,WOS:000412607100105,2017,Risk management of extreme events under climate change,"Yuan, Xiao-Chen|Wei, Yi-Ming|Wang, Bing|Mi, Zhifu",JOURNAL OF CLEANER PRODUCTION,climate change|extreme events|risk management|adaptation|uncertainty
