# Data from Clarivate Analytics' Web of Science, retrieved 1 December 2018
# This file generated on 2018-12-01 19:35:20
item,id,year,title,AU,SO,DE
63,WOS:000177651500049,2001,The Environmental Scenario Generator,"Kihn, EA|Zhizhin, M|Lowe, S|Siquig, R","17TH INTERNATIONAL CONFERENCE ON INTERACTIVE INFORMATION AND PROCESSING SYSTEMS (IIPS) FOR METEOROLOGY, OCEANOGRAPHY, AND HYDROLOGY",
64,WOS:000311059900030,2013,Relationship between critical load exceedances and empirical impact indicators at Integrated Monitoring sites across Europe,"Holmberg, M.|Vuorenmaa, J.|Posch, M.|Forsius, M.|Lundin, L.|Kleemola, S.|Augustaitis, A.|Beudert, B.|de Wit, H. A.|Dirnboeck, T.|Evans, C. D.|Frey, J.|Grandin, U.|Indriksone, I.|Kram, P.|Pompei, E.|Schulte-Bisping, H.|Srybny, A.|Vana, M.",ECOLOGICAL INDICATORS,acidification|eutrophication|sulphur deposition|nitrogen deposition
65,WOS:A1993BB28H00005,1993,USING A DISTRIBUTED HYDROLOGIC MODEL WITH THE AID OF GIS FOR COMPARATIVE HYDROLOGICAL MODELING OF MICROSCALE AND MESOSCALE CATCHMENTS IN THE USA AND IN GERMANY,"FLUGEL, WA|LULLWITZ, T|Wilkinson, WB",MACROSCALE MODELLING OF THE HYDROSPHERE,
66,WOS:000390418000003,2016,On the Use of Hydrological Models and Satellite Data to Study the Water Budget of River Basins Affected by Human Activities: Examples from the Garonne Basin of France,"Martin, Eric|Gascoin, Simon|Grusson, Youen|Murgue, Clement|Bardeau, Melanie|Anctil, Francois|Ferrant, Sylvain|Lardy, Romain|Le Moigne, Patrick|Leenhardt, Delphine|Rivalland, Vincent|Sanchez Perez, Jose-Miguel|Sauvage, Sabine|Therond, Olivier|Cazenave, A|Champollion, N|Benveniste, J|Chen, J",REMOTE SENSING AND WATER RESOURCES,modeling|hydrology|agriculture|anthropogenic changes|sociological and hydrological system|remote sensing
67,WOS:000291629500020,2011,Performance of Kriging and EWPM for Relative Air Pollution Exposure Risk Assessment,"Zou, B.|Zhan, F. B.|Zeng, Y.|Yorke, Ch|Liu, X.",INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH,exposure estimates|environmental pollution|environmental modeling|gis|spatial analysis
68,WOS:000180452800011,2001,Implementation of a GIS-based cellular automaton approach for dynamic modelling,"Gruener, |Halls, PJ",SPATIAL INFORMATION AND THE ENVIRONMENT,
69,WOS:000337860300015,2014,"Integrated modeling approach for sustainable municipal energy system planning and management - A case study of Shenzhen, China","Zhou, Y.|Li, Y. P.|Huang, G. H.",JOURNAL OF CLEANER PRODUCTION,air pollution control|fuzzy programming|management|municipal energy system|policy analysis|uncertainty
70,WOS:000357968600046,2014,Environmental and geomatics assessment of the Ha Thanh basin to hydrological hazards in central Vietnam,"Grivel, Stephane|Ngo, Anh Tu|Zaninetti, Jean-Marc|Thi Van Luong, |Daniell, TM|VanLanen, HAJ|Demuth, S|Laaha, G|Servat, E|Mahe, G|Boyer, JF|Paturel, JM|Dezetter, A|Ruelland, D",HYDROLOGY IN A CHANGING WORLD: ENVIRONMENTAL AND HUMAN DIMENSIONS,vietnam|ha thanh river|hydrology|modelling|geomatics|environmental changes
71,WOS:000402846200003,2017,AN OPEN SOURCE GIS-BASED DECISION SUPPORT SYSTEM FOR WATERSHED EVALUATION OF BEST MANAGEMENT PRACTICES,"Shao, Hui|Yang, Wanhong|Lindsay, John|Liu, Yongbo|Yu, Zhiqiang|Oginskyy, Anatoliy",JOURNAL OF THE AMERICAN WATER RESOURCES ASSOCIATION,soil and water assessment tool|integrated economic-hydrologic modeling|best management practice evaluation|open source gis|decision support system
72,WOS:000171538500019,2001,Integrated assessment modeling of air pollution in four European countries,"Johansson, M|Alveteg, M|Amann, M|Bak, J|Bartnicki, J|Ekqvist, M|Forsius, M|Frohn, L|Geernaert, G|Gimeno, B|Guardans, R|Karvosenoja, N|Martin, F|Posch, M|Suutari, R|Syri, S",WATER AIR AND SOIL POLLUTION,integrated assessment|model|acidification|eutrophication|ozone|europe
73,WOS:000352160900013,2015,"Hydrometeorological multi-model ensemble simulations of the 4 November 2011 flash flood event in Genoa, Italy, in the framework of the DRIHM project","Hally, A.|Caumont, O.|Garrote, L.|Richard, E.|Weerts, A.|Delogu, F.|Fiori, E.|Rebora, N.|Parodi, A.|Mihalovic, A.|Ivkovic, M.|Dekic, L.|van Verseveld, W.|Nuissier, O.|Ducrocq, V.|D'Agostino, D.|Galizia, A.|Danovaro, E.|Clematis, A.",NATURAL HAZARDS AND EARTH SYSTEM SCIENCES,
74,WOS:000248817600002,2007,Layer integrated modeling of three-dimensional recirculating flows in model tidal basins,"Hakimzadeh, Habib|Falconer, Roger A.",JOURNAL OF WATERWAY PORT COASTAL AND OCEAN ENGINEERING-ASCE,
75,WOS:000321660500002,2013,"Responses of runoff to climatic variation and human activities in the Fenhe River, China","Zhang, Dan|Liu, Xiaomang|Liu, Changming|Bai, Peng",STOCHASTIC ENVIRONMENTAL RESEARCH AND RISK ASSESSMENT,runoff|climatic variation|human activities|the fenhe river
