# Data from Clarivate Analytics' Web of Science, retrieved 24 February 2018
# This file generated on 2019-02-24 17:43:18
item,id,year,title,AU,SO,DE
57,WOS:000297619100011,2011,Analysis of Climate Change Effects on Floods Frequency Through a Continuous Hydrological Modelling,"Brocca, Luca|Camici, Stefania|Tarpanelli, Angelica|Melone, Florisa|Moramarco, Tommaso|Baba, A|Gunduz, O|Friedel, MJ|Tayfur, G|Howard, KWF|Chambel, A",CLIMATE CHANGE AND ITS EFFECTS ON WATER RESOURCES: ISSUES OF NATIONAL AND GLOBAL SECURITY,climate change|floods frequency|continuous hydrological modelling
58,WOS:A1997XW20900004,1997,Successive approximation in multifaceted modeling: Human performance application,"Zeigler, BP|Vahie, S|Young, MJ",TRANSACTIONS OF THE SOCIETY FOR COMPUTER SIMULATION,modeling|multifaceted modeling|discrete-event modeling|human performance modeling|successive approximation methodology
59,WOS:000444520600017,2018,A modelling framework for MSP-oriented cumulative effects assessment,"Menegon, Stefano|Depellegrin, Daniel|Farella, Giulio|Gissi, Elena|Ghezzo, Michol|Sarretta, Alessandro|Venier, Chiara|Barbanti, Andrea",ECOLOGICAL INDICATORS,cumulative effects assessment|cumulative impacts|cea backsourcing|maritime spatial planning|italy|adriatic sea
60,WOS:000388248400021,2016,Event-based hydrological modeling for detecting dominant hydrological process and suitable model strategy for semi-arid catchments,"Huang, Pengnian|Li, Zhijia|Chen, Ji|Li, Qiaoling|Yao, Cheng",JOURNAL OF HYDROLOGY,hydrological modeling|semi-arid catchments|classic models|flexible models|nonlinear components|dominant process
61,WOS:000264113700012,2009,A FRAMEWORK FOR ASSESSING THE TRADE-OFFS BETWEEN ECONOMIC AND ENVIRONMENTAL USES OF WATER IN A RIVER BASIN,"Malano, Hector M.|Davidson, Brian",IRRIGATION AND DRAINAGE,irrigation and environment trade-offs|economic water diversions|environmental allocation|multifunctional rivers and aquifers|environmental flows
62,WOS:000401110400007,2017,Improved validation framework and R-package for artificial neural network models,"Humphrey, Greer B.|Maier, Holger R.|Wu, Wenyan|Mount, Nick J.|Dandy, Graeme C.|Abrahart, Robert J.|Dawson, Christian W.",ENVIRONMENTAL MODELLING & SOFTWARE,artificial neural networks|multi-layer perceptron|r-package|structural validation|replicative validation|predictive validation
63,WOS:000424826300013,2018,An integrated optimisation platform for sustainable resource and infrastructure planning,"Triantafyllidis, Charalampos P.|Koppelaar, Rembrandt H. E. M.|Wang, Xiaonan|van Dam, Koen H.|Shah, Nilay",ENVIRONMENTAL MODELLING & SOFTWARE,integrated environmental modelling (iem)|decision support|sub-saharan africa|wash|agent-based modelling|mathematical programming
64,WOS:000342064300001,2014,Projection of future world water resources under SRES scenarios: an integrated assessment,"Shen, Yanjun|Oki, Taikan|Kanae, Shinjiro|Hanasaki, Naota|Utsumi, Nobuyuki|Kiguchi, Masashi",HYDROLOGICAL SCIENCES JOURNAL-JOURNAL DES SCIENCES HYDROLOGIQUES,climate warming|water resources availability|water stress|gcm|sres|climate warming impacts|population and economic development impacts|global
65,WOS:000430627100001,2018,Enhancing global climate policy ambition towards a 1.5 degrees C stabilization: a short-term multi-model assessment,"Vrontisi, Zoi|Luderer, Gunnar|Saveyn, Bert|Keramidas, Kimon|Reisa, Lara Alelui|Baumstark, Lavinia|Bertram, Christoph|de Boer, Harmen Sytze|Drouet, Laurent|Fragkiadakis, Kostas|Fricko, Oliver|Fujimori, Shinichiro|Guivarch, Celine|Kitous, Alban|Krey, Volker|Kriegler, Elmar|Broin, Eoin O.|Paroussos, Leonidas|van Vuuren, Detlef",ENVIRONMENTAL RESEARCH LETTERS,indc|1.5 degree|2 degrees|integrated assessment modelling|mitigation cost|paris agreement|energy system
66,WOS:A1991GQ18900003,1991,ECOSYSTEM MODELING WITH LISREL - A NEW APPROACH FOR MEASURING DIRECT AND INDIRECT EFFECTS,"JOHNSON, ML|HUGGINS, DG|DENOYELLES, F",ECOLOGICAL APPLICATIONS,causal process|disturbance|ecosystem|ecotoxicology|lisrel|modeling|path analysis
67,WOS:000448821900053,2018,Impact of Coal Resource Development on Streamflow Characteristics: Influence of Climate Variability and Climate Change,"Chiew, Francis H. S.|Fu, Guobin|Post, David A.|Zhang, Yongqiang|Wang, Biao|Viney, Neil R.",WATER,cumulative impact|coal resource development|climate change|hydroclimate variability|hydrological modelling|bioregional assessment
68,WOS:000182552500022,2002,A PC-based information system for the management and modelling of subsurface coal fires in mining areas (coalman),"Vekerdy, Z|Fabbri, AG|Gaal, G|McCammon, RB",DEPOSIT AND GEOENVIRONMENTAL MODELS FOR RESOURCE EXPLOITATION AND ENVIRONMENTAL SECURITY,
69,WOS:000290237600081,2011,Long-term implications of alternative light-duty vehicle technologies for global greenhouse gas emissions and primary energy demands,"Kyle, Page|Kim, Son H.",ENERGY POLICY,light-duty vehicles|transportation emissions mitigation|integrated assessment
70,WOS:000318906100004,2013,Integrated assessment for aerobic biodegradability of sulfide mineral flotation collectors,"Chen, Shaohua|Gong, Wenqi|Mei, Guangjun|Xiong, Ling|Liu, Xiaoye|Han, Weiyi|Xu, Nian",DESALINATION AND WATER TREATMENT,sulfide mineral flotation collectors|aerobic biodegradability|bod5/codcr ratio test|static-flasks test|oecd 301b
71,WOS:000169618500005,2001,Watershed assessment using an integrated modeling approach,"Khairy, WM|Hannoura, AP|McCorquodale, A|James, W","MODELS AND APPLICATIONS TO URBAN WATER SYSTEMS, MONOGRAPH 9",
72,WOS:000185071900002,2004,Parameterization of albedo over heterogeneous surfaces in coupled land-atmosphere schemes for environmental modeling. Part I: Theoretical background,"Mihailovic, DT|Kapor, D|Hogrefe, C|Lazic, J|Tosic, T",ENVIRONMENTAL FLUID MECHANICS,albedo|energy balance|environmental modeling|land-surface modeling|parameter aggregation|urban modeling
73,WOS:000168591400006,2001,Modelling long-term C dynamics in croplands in the context of climate change: a case study from Ohio,"Evrendilek, F|Wali, MK",ENVIRONMENTAL MODELLING & SOFTWARE,cropland sustainability|ecosystem modelling|carbon dynamics
74,WOS:000178994800004,2002,Integrated models of fisheries management and policy,"Imeson, RJ|Van den Bergh, JCJM|Hoekstra, J",ENVIRONMENTAL MODELING & ASSESSMENT,bioeconomic modelling|open-access|sole-owner|fishery management|golden rule|sustainable equilibrium|metapopulation|integrated modelling|resource economics
75,WOS:000262789900015,2009,A method for the regional estimation of runoff separation parameters for hydrological modelling,"Kling, Harald|Nachtnebel, Hans Peter",JOURNAL OF HYDROLOGY,regional parameter estimation|runoff separation|base flow|prediction in ungauged basins|water balance
76,WOS:000389428300012,2016,Economic tools to promote transparency and comparability in the Paris Agreement,"Aldy, Joseph|Pizer, William|Tavoni, Massimo|Reis, Lara Aleluia|Akimoto, Keigo|Blanford, Geoffrey|Carraro, Carlo|Clarke, Leon E.|Edmonds, James|Iyer, Gokul C.|McJeon, Haewon C.|Richels, Richard|Rose, Steven|Sano, Fuminori",NATURE CLIMATE CHANGE,
77,WOS:000294218900044,2011,Computer Aided Design and Analysis of Continuous Pharmaceutical Manufacturing Processes,"Boukouvala, Fani|Ramachandran, Rohit|Vanarase, Aditya|Muzzio, Fernando J.|Ierapetritou, Marianthi G.|Pistikopoulos, EN|Georgiadis, MC|Kokossis, AC",21ST EUROPEAN SYMPOSIUM ON COMPUTER AIDED PROCESS ENGINEERING,continuous manufacturing|pharmaceutical|dynamic flowsheet modeling
78,WOS:000328628400035,2013,Geophysical-Based Modeling of a Kettle Hole Catchment of the Morainic Soil Landscape,"Koszinski, Sylvia|Gerke, Horst H.|Hierold, Wilfried|Sommer, Michael",VADOSE ZONE JOURNAL,
79,WOS:000328908200010,2014,An inexact stochastic optimization model for agricultural irrigation management with a case study in China,"Li, Xiaoyan|Lu, Hongwei|He, Li|Shi, Bin",STOCHASTIC ENVIRONMENTAL RESEARCH AND RISK ASSESSMENT,conjunctive use|functional intervals|irrigation management|uncertainty|water allocation
80,WOS:000374174800002,2016,Modeling Sustainable Food Systems,"Allen, Thomas|Prosperi, Paolo",ENVIRONMENTAL MANAGEMENT,food and nutrition security|social-ecological systems|vulnerability|resilience|dynamic systems|metrics
81,WOS:000359277000004,2015,Climate-induced changes in flood runoff of the Aller-Leine catchment - a case study using HBV-IWW,"Wallner, Markus|Haberlandt, Uwe",HYDROLOGIE UND WASSERBEWIRTSCHAFTUNG,climate change|flood frequency|hydrological modelling
82,WOS:000290114100102,2005,Semantic links in integrated modelling frameworks,"Rizzoli, A. E.|Donatelli, M.|Athanasiadis, I.|Villa, F.|Muetzelfeldt, R.|Huber, D.|Zerger, A|Argent, RM",MODSIM 2005: INTERNATIONAL CONGRESS ON MODELLING AND SIMULATION: ADVANCES AND APPLICATIONS FOR MANAGEMENT AND DECISION MAKING,integrated modelling frameworks|ontologies|model linking|model reuse
83,WOS:000357968700015,2014,Where does blue water go in the semi-arid area of northern China under changing environments?,"Ren, Liliang|Yuan, Fei|Yong, Bin|Jiang, Shanhu|Yang, Xiaoli|Gong, Luyan|Ma, Mingwei|Liu, Yi|Shen, Hongren|Castellarin, A|Ceola, S|Toth, E|Montanari, A","EVOLVING WATER RESOURCES SYSTEMS: UNDERSTANDING, PREDICTING AND MANAGING WATER-SOCIETY INTERACTIONS",runoff|evapotranspiration|blue water|green water|land use and cover changes|water balance
